Pitch No.,Pitcher,PitcherThrows,AutoPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Kysar, Ryan",Right,Four-Seam,89.78368,-1.713721,-0.215012,2277.641057,211.93503,1:00,6.45799,1.52299,5.56452,-16.1593,19.20466,11.21351,3.50987,2.25657,81.43344,-4.791748,1.785405,0.428008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Kysar, Ryan",Right,Four-Seam,90.4121,-2.856033,-1.662889,2275.385355,205.354219,12:45,6.48031,1.43403,5.81104,-13.47579,20.98537,9.39808,2.69808,0.67039,82.3642,-5.451103,0.020577,0.422509,102.01862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Kysar, Ryan",Right,Changeup,78.2018,0.598851,-3.13354,1149.723163,242.423976,2:00,6.50142,1.7346,5.25822,-37.96404,8.77729,14.03536,3.90129,-0.04295,71.76365,-6.354434,-0.647722,0.492064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Kysar, Ryan",Right,Slider,82.80109,-3.140649,-3.270102,2099.819848,169.183436,11:45,6.36266,1.74996,5.71684,-30.04033,10.86083,-1.84602,0.92582,-1.45355,76.82346,-8.639381,-3.599831,0.460298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Kysar, Ryan",Right,Slider,82.92061,-1.56865,-3.75697,2183.949045,151.568776,11:00,6.36632,1.62776,5.68046,-33.42939,7.79898,-3.50618,2.1147,-2.17176,76.05809,-7.71055,-4.381872,0.462136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Kysar, Ryan",Right,Four-Seam,89.53494,-1.651474,-1.21239,2216.479761,190.391908,12:15,6.57925,1.55787,5.867,-10.26351,25.30403,4.39244,4.18903,0.79748,80.17157,-3.723321,-0.424845,0.429238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Kysar, Ryan",Right,Four-Seam,89.72572,-4.177373,-1.565451,2244.523158,219.781083,1:15,6.47383,1.57545,5.84024,-14.90765,20.38131,15.91233,1.34062,1.44614,81.32244,-7.032794,1.28784,0.427554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Kysar, Ryan",Right,Four-Seam,89.82564,-1.910101,-2.26426,2274.573506,205.552681,12:45,6.48654,1.53346,5.73726,-13.05871,21.98789,9.94658,3.61753,0.25272,81.59777,-4.441478,-0.486177,0.426083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Kysar, Ryan",Right,Changeup,79.55476,0.373314,-2.591152,1180.855778,277.785001,3:15,6.30869,1.91655,5.32558,-45.54845,-0.25008,12.63079,2.86367,0.53589,72.78244,-7.927287,-0.347101,0.484409,93.55384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Kysar, Ryan",Right,Four-Seam,89.91306,-2.269082,-2.009058,2295.550904,211.681525,1:00,6.40342,1.4854,5.86937,-13.73772,21.16867,12.3165,3.14842,0.64475,81.49699,-4.9303,0.199112,0.42523,76.48255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Kysar, Ryan",Right,Slider,83.90359,-1.810349,-1.313307,2123.922868,172.647586,11:45,6.39016,1.47088,5.80922,-24.31493,15.65009,-1.84957,2.67935,0.0952,76.64145,-6.362991,-1.644761,0.455,97.5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Kysar, Ryan",Right,Four-Seam,90.29131,-3.414349,-1.633961,2253.069587,200.381862,12:45,6.47804,1.32237,5.96111,-13.56828,20.94615,7.33756,2.17613,0.41822,82.02032,-6.035494,-0.315863,0.422836,66.74976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Kysar, Ryan",Right,Slider,85.85939,-2.113966,-1.854741,2051.085577,167.92869,11:30,6.31547,1.54927,5.80091,-25.77541,12.43272,-2.39095,2.19937,-0.3757,78.50561,-6.909043,-2.283066,0.444887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Kysar, Ryan",Right,Four-Seam,91.35251,-2.52319,-1.299621,2335.15271,198.710877,12:30,6.53657,1.3595,5.47836,-12.15709,22.2006,7.10985,3.16029,0.73567,82.68695,-4.882765,-0.033878,0.421875,78.61601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Kysar, Ryan",Right,Slider,85.60389,-0.658713,-1.434894,2249.512716,153.896186,11:15,6.36286,1.58679,5.49958,-29.66383,9.09323,-3.8489,3.27451,-0.07639,78.30104,-6.132247,-2.120671,0.448071,75.24419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Kysar, Ryan",Right,Slider,85.31538,-3.548527,-2.694985,2100.008291,192.473526,12:30,6.30338,1.5328,5.81203,-24.15698,14.62434,2.95106,0.98257,-0.72925,78.14529,-8.039133,-2.16653,0.448211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Kysar, Ryan",Right,ChangeUp,81.4772,0.125969,-3.849254,1106.633703,259.442186,2:45,6.24365,1.85948,5.2953,-38.95664,4.02937,14.57942,3.11581,-0.54523,74.92899,-6.976605,-1.26689,0.471884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Kysar, Ryan",Right,ChangeUp,81.0582,-0.796457,-3.471237,1053.425756,246.281186,2:15,6.25102,1.85027,5.18823,-37.39577,6.51898,11.54796,2.38397,-0.45716,74.1301,-7.621146,-1.428162,0.476954,80.03985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Kysar, Ryan",Right,Four-Seam,89.35958,-3.759483,-2.134611,2323.343185,201.857659,12:45,6.23607,0.89373,5.75179,-10.37256,25.23285,9.61461,1.86426,-0.29323,80.98853,-5.813091,-0.415547,0.429466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Kysar, Ryan",Right,Slider,84.19496,-3.733426,-1.979849,2411.176965,180.359267,12:00,6.15612,0.89692,5.60319,-26.53159,13.24839,0.07551,0.45274,-0.94584,77.87227,-8.603821,-1.966366,0.453945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Kysar, Ryan",Right,Four-Seam,90.6307,-3.467248,-3.113671,2220.67161,209.448633,1:00,6.23797,0.88743,5.62684,-11.25036,23.55249,12.60012,2.05622,-0.97094,82.09377,-5.671334,-0.868247,0.424599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Kysar, Ryan",Right,Four-Seam,92.09592,-2.431766,-3.413058,2375.38246,202.278579,12:45,6.20592,0.74346,5.53684,-9.39315,24.32159,9.488,3.14473,-1.65991,83.48048,-4.29836,-1.726492,0.417909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Kysar, Ryan",Right,Slider,84.62593,-3.226537,-0.499642,2420.127443,165.652092,11:30,6.13584,0.91828,5.55411,-28.67462,10.97186,-2.47882,0.72804,0.24483,77.73749,-8.495124,-0.942486,0.453183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Kysar, Ryan",Right,ChangeUp,80.43566,-2.28655,-3.499263,1006.808604,267.769084,3:00,6.0383,1.08581,5.48969,-41.87908,2.19331,19.68619,0.40408,-0.55147,74.03252,-9.90143,0.011579,0.477809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Kysar, Ryan",Right,Four-Seam,90.34753,-3.15532,-0.709942,2358.718681,210.050504,1:00,6.24638,0.84802,5.65486,-11.31713,23.59765,12.93855,2.35724,1.26407,81.84063,-5.370423,1.601523,0.425281,68.94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Kysar, Ryan",Right,Four-Seam,90.29825,-1.750444,-0.997367,2229.810038,209.293274,1:00,6.18961,0.74042,5.70402,-12.37835,22.30576,11.86028,3.52625,0.79933,82.03732,-4.156833,1.123362,0.423874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Kysar, Ryan",Right,ChangeUp,77.80359,3.237683,-1.102031,883.585326,280.835298,3:15,5.98032,1.22111,5.26851,-47.95888,0.28638,7.81709,5.02905,0.83716,69.76943,-5.569194,0.283515,0.499918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Kysar, Ryan",Right,Four-Seam,89.3983,-2.833835,-2.156576,2063.468556,201.834771,12:45,6.1754,0.92748,5.79115,-14.20635,20.89867,7.92607,2.35124,-0.4192,81.87252,-5.550438,-0.73799,0.426438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Kysar, Ryan",Right,Four-Seam,90.02874,-3.483645,-0.554815,2165.989018,200.670136,12:45,6.22589,0.86333,5.73024,-13.94855,20.60355,7.37489,1.81487,0.96116,82.86634,-6.132608,0.764958,0.423067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Kysar, Ryan",Right,ChangeUp,79.21869,0.061133,-1.459851,874.917952,268.51494,3:00,5.99358,1.14502,5.35728,-43.62967,1.74402,12.79997,2.41513,0.84225,72.83668,-7.892297,0.817794,0.484812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Kysar, Ryan",Right,Four-Seam,91.02299,-1.584838,-1.76463,2254.091631,204.496124,12:45,6.13448,0.87362,5.47095,-12.62938,21.68501,9.37382,3.59774,0.00278,82.97244,-4.017513,-0.096536,0.421609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
