Pitch No.,Pitcher,PitcherThrows,AutoPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Kysar, Ryan",Right,Four-Seam,89.93535,-2.195787,-2.908193,2233.755572,206.486071,1:00,6.36503,0.80206,5.81453,-16.28733,18.66788,8.70485,2.96231,-1.17911,81.66019,-5.304608,-1.350848,0.425527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Kysar, Ryan",Right,Curveball,77.81143,1.379241,-0.92585,2627.524873,48.156445,7:30,6.38598,0.89046,5.14824,-61.83086,-13.97119,-17.35406,2.5324,-1.42747,71.25895,-9.769304,-4.004044,0.497916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Kysar, Ryan",Right,Slider,83.28282,-1.385758,0.107586,2119.247606,133.279838,10:30,6.30055,1.00432,5.43619,-32.96132,8.09473,-7.1902,2.25579,0.50589,76.31213,-7.437355,-1.17376,0.461169,90.54377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Kysar, Ryan",Right,Changeup,81.66088,-1.651891,-0.65031,1477.000562,228.810128,1:45,6.26163,1.28194,5.23176,-28.58529,14.36509,14.85013,2.32614,1.9081,74.91723,-6.913663,1.984545,0.471688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Kysar, Ryan",Right,Four-Seam,90.08679,-2.314833,-1.020667,2253.53164,203.99914,12:45,6.36382,0.88216,5.84128,-9.93422,24.97509,10.56245,3.38303,0.81365,81.32771,-4.303326,0.87256,0.425248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"Kysar, Ryan",Right,Four-Seam,90.12338,-2.207871,-2.035474,2153.353476,203.450022,12:45,6.38401,0.74195,5.80184,-11.91461,22.83419,9.39245,3.33528,-0.36933,81.83923,-4.536072,-0.354157,0.424269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Kysar, Ryan",Right,Four-Seam,91.14624,-3.010078,-1.346961,2163.390407,206.517872,1:00,6.30344,0.78394,5.67276,-11.84237,22.28269,10.54186,2.50677,0.40635,82.91451,-5.308396,0.536695,0.420444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"Kysar, Ryan",Right,Slider,83.30944,-0.431676,0.521156,2029.715477,138.684519,10:30,6.30657,1.00864,5.44378,-28.34533,12.70056,-9.98725,3.54023,0.66436,76.01482,-5.688232,-1.257208,0.461112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Kysar, Ryan",Right,Slider,83.61585,-1.199909,-0.295769,2007.740179,168.493016,11:30,6.28414,0.95143,5.62211,-22.90966,17.64229,-3.31599,3.25502,0.39907,76.14972,-5.504294,-0.888059,0.458329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"Kysar, Ryan",Right,Four-Seam,89.95786,-1.682592,-1.35229,2133.091895,217.36042,1:15,6.34273,0.84167,5.67151,-14.70028,20.46131,14.6802,3.54802,0.80395,81.37721,-4.512988,1.271152,0.426781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Kysar, Ryan",Right,Curveball,79.5881,0.30747,-1.371154,2656.442174,38.181055,7:15,6.29832,0.93521,5.07084,-60.56208,-14.77765,-12.77579,1.54147,-1.42248,73.18568,-10.562425,-3.636417,0.487002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"Kysar, Ryan",Right,Curveball,77.78751,0.898338,0.228336,2779.26572,36.453307,7:15,6.29934,0.88929,5.16518,-63.65346,-15.81879,-12.85646,1.84049,0.03283,71.30016,-10.56942,-2.057405,0.497786,87.11114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"Kysar, Ryan",Right,Slider,81.20341,-1.901142,-0.785898,2115.787087,184.403579,12:15,6.30408,1.06785,5.53979,-28.82718,13.99158,0.97528,2.12405,0.41453,74.75312,-7.224495,-0.61185,0.470965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"Kysar, Ryan",Right,Curveball,77.25852,-0.648165,-0.681421,2549.327337,35.257745,7:15,6.29921,0.83861,5.21261,-64.6187,-16.09536,-12.51446,0.30473,-0.84509,71.09979,-12.243365,-2.911976,0.501357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,"Kysar, Ryan",Right,Changeup,81.75518,-4.643856,-2.231999,1713.528324,212.700922,1:00,6.25007,1.20744,5.44414,-26.86517,15.88024,9.30378,-0.34977,-0.10821,75.34059,-9.568358,-0.574771,0.470561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"Kysar, Ryan",Right,Four-Seam,89.43903,-2.830482,-2.363685,2109.186409,218.84728,1:15,6.34012,0.81133,5.66796,-15.89536,19.63253,14.82694,2.37187,-0.15832,81.27538,-5.860222,0.284434,0.428999,93.50757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"Kysar, Ryan",Right,Slider,81.87925,-2.325765,-0.843289,2171.971384,159.845269,11:15,6.32656,0.93686,5.64175,-28.48864,13.19327,-4.40296,1.7814,-0.2168,75.96263,-7.567798,-1.630552,0.464671,101.32632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Kysar, Ryan",Right,Changeup,79.55182,0.041644,-0.124183,1413.339407,218.909366,1:15,6.26136,1.1381,5.39523,-32.05844,12.93217,9.283,3.62885,1.7953,72.78993,-5.883862,1.527096,0.482761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Kysar, Ryan",Right,Curveball,76.59887,1.546667,-0.223002,2554.834154,41.886473,7:30,6.31322,0.97447,5.18879,-62.45578,-13.23855,-13.31434,2.56404,-0.34486,70.19079,-9.732919,-2.587789,0.504929,66.5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Gonzalez, Aidan",Right,Four-Seam,90.35963,-1.278061,-1.851428,2103.163886,222.065269,1:30,5.55017,0.21385,5.90762,-17.893,16.65158,13.93784,2.87191,-0.34385,81.74684,-4.690294,0.65008,0.423021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Gonzalez, Aidan",Right,Changeup,82.39608,-1.593814,-1.909733,1654.652547,234.168709,1:45,5.51309,0.21482,5.80088,-29.49726,11.88012,14.59871,1.57135,-0.34555,75.46753,-7.072119,0.707453,0.46297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Gonzalez, Aidan",Right,Curveball,81.27129,-0.094791,-1.451911,2593.791526,47.752253,7:30,5.61626,0.26779,5.04444,-50.17117,-6.64796,-8.73985,1.34589,-1.83044,75.16803,-9.115594,-2.998897,0.474823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Gonzalez, Aidan",Right,Changeup,83.33642,-2.811286,-1.788384,1642.68453,236.850605,2:00,5.51871,0.30662,5.68337,-29.22281,11.42717,15.49009,0.45951,-0.07015,76.54252,-8.202303,0.984384,0.458883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Gonzalez, Aidan",Right,Sinker,89.82213,0.028182,-2.365196,2113.399826,246.444201,2:15,5.50516,0.28916,5.89992,-26.41868,8.34548,16.52682,3.32979,-0.53067,81.74062,-4.903064,0.600111,0.424363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Gonzalez, Aidan",Right,Sinker,91.08876,-0.610103,-1.478989,2130.848373,239.618682,2:00,5.50698,0.41149,5.42289,-23.76954,10.59756,16.16808,2.95448,0.37314,83.00556,-5.020367,1.39808,0.421932,82.54321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Gonzalez, Aidan",Right,Changeup,81.94237,-0.94615,-1.525093,1559.975274,252.684277,2:30,5.5343,0.30498,5.69457,-36.1964,5.71599,14.09843,1.63576,0.05818,75.25687,-7.604983,0.999122,0.465953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Gonzalez, Aidan",Right,Sinker,88.59217,-1.204378,-2.420991,1953.4791,247.709483,2:15,5.49565,0.4853,5.60944,-28.40009,7.58607,15.73473,2.00358,-0.46471,81.16732,-6.444938,0.388536,0.431757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Gonzalez, Aidan",Right,Slider,85.06016,-1.62457,-1.95191,2337.516156,187.093664,12:15,5.50092,0.45014,5.42882,-33.4384,5.92567,0.58193,1.19151,-1.33024,78.07914,-7.741261,-1.848307,0.451566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Gonzalez, Aidan",Right,Sinker,91.47347,-0.884752,-0.843446,2067.603603,224.141876,1:30,5.74128,0.49314,5.72259,-20.57426,13.0265,11.60725,3.20248,0.6747,83.56312,-4.739541,1.233737,0.417202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Gonzalez, Aidan",Right,Slider,85.61926,-0.204065,-0.201217,2487.876516,157.946878,11:15,5.52415,0.24726,5.47415,-32.46266,5.84303,-1.92827,2.62796,-0.10173,79.18604,-6.15001,-0.544903,0.445454,57.93047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Gonzalez, Aidan",Right,Slider,86.61127,-2.054513,0.4994,2507.757108,174.378441,11:45,5.60108,0.53372,5.37522,-31.69577,5.93618,-0.47854,1.03268,0.96207,80.31137,-7.824801,0.414193,0.441519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Gonzalez, Aidan",Right,Four-Seam,90.32604,0.142294,-1.349853,2168.857034,221.629161,1:30,5.6831,0.36982,5.77005,-20.09194,14.27891,11.7328,4.14124,0.09108,82.46123,-3.639693,0.75056,0.421955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Gonzalez, Aidan",Right,Changeup,83.61315,-1.850267,-2.703141,1630.682174,252.012313,2:30,5.51729,0.34751,5.91139,-34.78734,5.21922,12.16938,0.89845,-1.14925,76.84471,-8.261076,-0.516824,0.455236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Gonzalez, Aidan",Right,Four-Seam,89.88929,-1.178324,-2.468728,2153.684148,217.377499,1:15,5.50965,0.30245,6.06231,-19.54599,14.80076,10.47973,2.78906,-1.11059,82.21484,-4.873044,-0.583611,0.421807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Gonzalez, Aidan",Right,Slider,84.4102,-0.471085,-0.581567,2492.308284,138.646221,10:30,5.46486,0.5312,5.44869,-34.3764,4.89575,-3.38343,2.15907,-0.29527,78.51865,-6.740728,-1.184438,0.451039,91.25968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Gonzalez, Aidan",Right,Four-Seam,90.46077,-0.144955,-1.894144,2135.72172,219.459619,1:15,5.54383,0.42901,5.86782,-18.82174,15.29442,11.71587,3.84062,-0.35487,82.66983,-3.701888,0.206385,0.420389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Gonzalez, Aidan",Right,Sinker,88.54756,-2.008553,-1.816191,2087.409916,222.883166,1:30,5.61306,0.35757,5.92486,-20.43789,15.1219,13.00394,2.04436,-0.24467,81.15113,-5.850219,0.519308,0.429191,67.02139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Gonzalez, Aidan",Right,Slider,84.70242,0.819043,-0.888626,2473.089907,166.506288,11:30,5.55088,0.57713,5.3614,-33.74911,5.66382,-1.08563,3.50669,-0.34675,78.04462,-5.361769,-1.081561,0.451846,60.70273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Gonzalez, Aidan",Right,Four-Seam,90.75279,-2.252473,-2.850498,2085.254502,199.300878,12:45,5.69386,0.15796,6.08216,-16.25883,17.6382,5.78138,2.2513,-1.99973,82.63909,-5.358623,-1.810997,0.419037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Gonzalez, Aidan",Right,Sinker,90.21769,-0.094869,-1.525763,2103.893334,239.791991,2:00,5.62696,0.0295,5.82755,-24.09127,10.74564,16.33505,3.53113,-0.02801,81.39758,-4.621932,1.402625,0.424807,78.73353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Gonzalez, Aidan",Right,Slider,83.5752,-0.835704,-1.935866,2446.082677,135.120568,10:30,5.53793,0.45042,5.65157,-36.46116,3.9337,-2.65665,1.71952,-1.57727,76.75417,-7.525603,-2.410688,0.45744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Gonzalez, Aidan",Right,Sinker,88.5681,-1.278818,-3.006917,2047.351129,232.858749,1:45,5.53509,0.24125,5.80103,-22.07737,13.87729,16.73402,2.50403,-1.16359,80.58762,-5.426214,-0.012016,0.431568,98.55991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Gonzalez, Aidan",Right,Four-Seam,88.45564,-1.438175,-1.515257,1980.617911,211.495385,1:00,5.58723,0.26231,5.83515,-17.26517,18.87237,10.78827,2.81091,-0.24745,80.05137,-4.741342,0.418467,0.432664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Gonzalez, Aidan",Right,Curveball,79.89912,-0.331704,-1.758778,2500.380045,32.167068,7:00,5.51956,0.29189,5.41269,-54.65015,-9.85493,-7.09863,0.65447,-1.94796,73.51297,-10.214358,-3.024907,0.481712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Gonzalez, Aidan",Right,Slider,84.88185,-1.306763,-1.751303,2566.213808,140.889813,10:45,5.64443,0.5083,5.59024,-36.14049,2.91091,-1.4226,1.4117,-1.24611,78.3953,-7.907936,-2.005447,0.449769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Gonzalez, Aidan",Right,Slider,83.77995,0.101733,-1.757885,2522.334417,94.515853,9:15,5.5465,0.31019,5.55489,-38.67597,1.38701,-2.77469,2.41861,-1.56412,77.34276,-6.965773,-2.252854,0.455557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Gonzalez, Aidan",Right,Four-Seam,90.32567,-1.730007,-1.275659,2301.471781,200.0722,12:45,5.70201,0.10698,5.98411,-13.75024,20.30493,7.02996,2.9517,-0.48981,82.67078,-4.376351,-0.012133,0.420013,100.18052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Gonzalez, Aidan",Right,Four-Seam,90.26149,-2.861244,-1.657755,2265.513352,218.108371,1:15,5.62604,0.2664,6.19565,-15.00946,19.01194,14.03497,1.73037,-0.09492,82.39963,-5.743272,0.875305,0.419805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Gonzalez, Aidan",Right,Slider,84.02842,-0.505619,-2.26175,2455.019105,138.960434,10:45,5.51136,0.34991,5.60144,-35.54136,4.40268,-2.77158,2.07715,-1.99371,77.29239,-7.022924,-2.756283,0.454881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Gonzalez, Aidan",Right,Changeup,84.49857,-3.120349,-3.025401,1641.475849,245.02005,2:15,5.56932,0.46518,5.9984,-29.5399,9.64268,17.95119,0.20924,-0.84503,77.53868,-8.59115,0.204315,0.450524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Gonzalez, Aidan",Right,Slider,84.22767,1.36128,-1.065015,2378.942012,97.563548,9:15,5.58528,0.29263,5.44406,-37.9386,2.26791,-7.32445,3.69881,-1.31507,76.7901,-5.602042,-2.368307,0.456373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Gonzalez, Aidan",Right,Changeup,83.00265,-1.934735,-2.683077,1581.638667,248.353477,2:15,5.48229,0.47792,6.01708,-33.36986,7.15725,14.71068,0.90659,-0.78345,76.08528,-8.114217,-0.035098,0.458189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Gonzalez, Aidan",Right,Sinker,89.19906,-1.609902,-3.115076,2045.305102,244.600901,2:15,5.43228,0.25473,5.88854,-26.15746,9.31752,17.04769,1.75496,-1.22009,81.00175,-6.490583,-0.057784,0.428679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Gonzalez, Aidan",Right,Slider,86.22763,-0.63512,-1.535291,2545.369377,112.252781,9:45,5.45895,0.49855,5.61776,-33.87549,4.08351,-7.10048,2.04299,-1.52639,79.14977,-6.854214,-2.803455,0.443434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Gonzalez, Aidan",Right,Slider,86.18819,-1.320849,-2.028435,2539.935101,116.713931,10:00,5.52682,0.48241,5.58464,-34.77207,3.38362,-4.31551,1.39463,-1.77234,79.06059,-7.687833,-2.79877,0.444581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Gonzalez, Aidan",Right,Four-Seam,90.5474,-1.738665,-1.08191,2192.317853,212.808568,1:00,5.59063,0.09464,6.07817,-15.89635,18.08714,10.93225,2.65641,0.00448,82.39989,-4.785639,0.887139,0.419571,77.73742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Gonzalez, Aidan",Right,Four-Seam,90.48575,-1.110419,-2.425861,2166.793352,205.427483,12:45,5.62024,0.02287,5.86744,-18.22655,16.15375,7.13048,3.06878,-1.63779,82.18337,-4.570142,-1.148196,0.422013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
